resort,observation_date,region,reach,question,treatment,transect,dist,plot_id,species_code,browse,percent_cover,datasheet_page,notes,scientific_name,common_name,vegetation_type,beaver_preference,x,percent_cover_num,circle_name,observation_date.only
15,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,OPHO,no,1,p1_front,NA,Oplopanax horridus,devil's club,NA,NA,NA,1,B020,2022-09-27
16,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,EQXXSP,no,trace,p1_front,NA,Equisetum sp.,horsetail species,NA,NA,NA,0.5,B020,2022-09-27
17,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,COUN,no,1,p1_front,NA,Cornus unalaschkensis,bunchberry,NA,NA,NA,1,B020,2022-09-27
18,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,ABAM,no,50,p1_front,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,50,B020,2022-09-27
19,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,20,CCNWTB020,PSME,no,10,p1_front,trunk outside of plot,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,10,B020,2022-09-27
20,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,TSHE,no,20,p1_front,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,20,B075,2022-09-27
21,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,VAPA,no,10,p1_front,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,10,B075,2022-09-27
22,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,CHUM,no,10,p1_front,NA,Chimaphyla umbellata,pipsissewa,NA,NA,NA,10,B075,2022-09-27
23,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,ABAM,no,25,p1_front,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,25,B075,2022-09-27
24,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,COUN,no,1,p1_front,NA,Cornus unalaschkensis,bunchberry,NA,NA,NA,1,B075,2022-09-27
25,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,MANE,no,2,p1_front,NA,Mahonia nervosa ,low oregon grape,NA,NA,NA,2,B075,2022-09-27
26,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,GOOB,no,1,p1_front,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,1,B075,2022-09-27
27,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,MAST,nibbled,1,p1_front,NA,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,1,B075,2022-09-27
28,2022-09-27T11:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,TITR,no,trace,p1_front,NA,Tiarella trifoliata,foam flower,NA,NA,NA,0.5,B075,2022-09-27
29,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,MADI,no,1,p1_front,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,1,B075,2022-09-27
30,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,PSME,no,60,p1_back,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,60,B075,2022-09-27
31,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,VIXXSP,no,trace,p1_back,NA,Viola sp.,violet species,NA,NA,NA,0.5,B075,2022-09-27
32,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,MOUN,no,trace,p1_back,NA,Monotropa uniflora,ghost pipe,NA,NA,NA,0.5,B075,2022-09-27
33,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,POMU,no,1,p1_back,NA,Polystichum munitum,sword fern,NA,NA,NA,1,B075,2022-09-27
34,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,DREX,no,1,p1_back,NA,Dryopteris expansa,spreading wood fern,NA,NA,NA,1,B075,2022-09-27
35,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,STSP,no,1,p1_back,NA,Struthiopteris spicant,deer fern,NA,NA,NA,1,B075,2022-09-27
36,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,75,CCNWTB075,OPHO,no,trace,p1_back,NA,Oplopanax horridus,devil's club,NA,NA,NA,0.5,B075,2022-09-27
37,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,MANE,no,45,p1_back,NA,Mahonia nervosa ,low oregon grape,NA,NA,NA,45,B130,2022-09-27
38,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,VAPA,no,1,p1_back,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,1,B130,2022-09-27
39,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,ACTR,no,3,p1_back,NA,Achlys triphylla,vanilla leaf,NA,NA,NA,3,B130,2022-09-27
40,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,POMU,no,1,p1_back,NA,Polystichum munitum,sword fern,NA,NA,NA,1,B130,2022-09-27
41,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,TSHE,no,20,p1_back,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,20,B130,2022-09-27
42,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,PSME,no,65,p1_back,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,65,B130,2022-09-27
43,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,OPHO,no,1,p1_back,NA,Oplopanax horridus,devil's club,NA,NA,NA,1,B130,2022-09-27
44,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,TROV,no,trace,p1_back,NA,Trillium ovatum,trillium,NA,NA,NA,0.5,B130,2022-09-27
45,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,MAST,no,1,p1_back,NA,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,1,B130,2022-09-27
46,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,CLUN,no,2,p1_back,NA,Clintonia uniflora,queens cups,NA,NA,NA,2,B130,2022-09-27
47,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,RUUR,no,1,p1_back,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,1,B130,2022-09-27
48,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,GOOB,no,trace,p1_back,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,0.5,B130,2022-09-27
49,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,CHUM,no,trace,p1_back,NA,Chimaphyla umbellata,pipsissewa,NA,NA,NA,0.5,B130,2022-09-27
50,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,TITR,no,trace,p1_back,NA,Tiarella trifoliata,foam flower,NA,NA,NA,0.5,B130,2022-09-27
51,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,STSP,no,1,p1_back,NA,Struthiopteris spicant,deer fern,NA,NA,NA,1,B130,2022-09-27
52,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,RHME,no,1,p1_back,NA,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,1,B130,2022-09-27
53,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,COUN,no,1,p1_back,NA,Cornus unalaschkensis,bunchberry,NA,NA,NA,1,B130,2022-09-27
54,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,VIXXSP,no,1,p1_back,NA,Viola sp.,violet species,NA,NA,NA,1,B130,2022-09-27
55,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,TABR,no,5,p1_back,NA,Taxus brevifolia,Pacific yew,tree,NA,NA,5,B130,2022-09-27
56,2022-09-27T12:00:00Z,Charley Creek,WillowNorth,Willow,yes,B,130,CCNWTB130,ABAM,no,10,p1_back,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,10,B130,2022-09-27
57,2022-09-27T13:10:00Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,POMU,no,10,p2_front,NA,Polystichum munitum,sword fern,NA,NA,NA,10,G020,2022-09-27
58,2022-09-27T13:10:00Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,ATFE,no,3,p2_front,NA,Athyrium filix-femina,lady fern,NA,NA,NA,3,G020,2022-09-27
59,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,RUSP,no,1,p2_front,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,1,G020,2022-09-27
60,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,ACCI,no,30,p2_front,NA,Acer circinatum,vine maple,NA,NA,NA,30,G020,2022-09-27
61,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,TOME,no,1,p2_front,NA,Tolmiea menziesii,piggyback plant,NA,NA,NA,1,G020,2022-09-27
62,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,GYDI,no,15,p2_front,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,15,G020,2022-09-27
63,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,OXTR,no,2,p2_front,NA,Oxalis trilliifolia,trillium-leaved oxalis,NA,NA,NA,2,G020,2022-09-27
64,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,TITR,no,3,p2_front,NA,Tiarella trifoliata,foam flower,NA,NA,NA,3,G020,2022-09-27
65,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,HYTE,no,trace,p2_front,NA,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,0.5,G020,2022-09-27
66,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,CIAL,no,trace,p2_front,NA,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,0.5,G020,2022-09-27
67,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,DIFO,no,3,p2_front,NA,Dicentra formosa,bleeding heart,NA,NA,NA,3,G020,2022-09-27
68,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,RIBR,no,1,p2_front,NA,Ribes bracteosum,stink currant,NA,NA,NA,1,G020,2022-09-27
69,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,TROV,no,trace,p2_front,NA,Trillium ovatum,trillium,NA,NA,NA,0.5,G020,2022-09-27
70,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,RUUR,no,trace,p2_front,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,0.5,G020,2022-09-27
71,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,ACTR,no,10,p2_front,NA,Achlys triphylla,vanilla leaf,NA,NA,NA,10,G020,2022-09-27
72,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,VIXXSP,no,1,p2_front,NA,Viola sp.,violet species,NA,NA,NA,1,G020,2022-09-27
73,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,TSHE,no,50,p2_front,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,50,G020,2022-09-27
74,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,OPHO,no,2,p2_front,NA,Oplopanax horridus,devil's club,NA,NA,NA,2,G020,2022-09-27
75,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,PRHO,no,1,p2_front,NA,Prosartes hookeri,Hooker's fairy bell,NA,NA,NA,1,G020,2022-09-27
76,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,MADI,no,trace,p2_front,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,0.5,G020,2022-09-27
77,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,ADBI,no,trace,p2_front,NA,Adenocaulon bicolor,trail plant or pathfinder,NA,NA,NA,0.5,G020,2022-09-27
78,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,THPL,no,25,p2_front,NA,Thuja plicata,western redcedar,tree,NA,NA,25,G020,2022-09-27
79,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,GATR,no,trace,p2_front,NA,Galium triflorum,galium,NA,NA,NA,0.5,G020,2022-09-27
80,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,GOOB,no,trace,p2_front,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,0.5,G020,2022-09-27
81,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,CAXXSP,no,trace,p2_front,NA,Carex sp.,sedge species,NA,NA,NA,0.5,G020,2022-09-27
82,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,LUPA,no,trace,p2_front,NA,Luzula parviflora,small-flowered woodrush,NA,NA,NA,0.5,G020,2022-09-27
83,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,MYMU,no,trace,p2_front,NA,Mycelis muralis,wall lettuce,NA,NA,NA,0.5,G020,2022-09-27
84,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,COSC,no,1,p2_front,NA,Corydalis scouleri,corydalis,NA,NA,NA,1,G020,2022-09-27
85,2022-09-27T13:09:59Z,Charley Creek,BDAEast,BDA,no,G,20,CCEBCG020,PSME,no,30,p2_front,trunk outside of plot,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,30,G020,2022-09-27
86,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,GATR,no,trace,p2_back,NA,Galium triflorum,galium,NA,NA,NA,0.5,G075,2022-09-27
87,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,MAST,no,trace,p2_back,NA,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,0.5,G075,2022-09-27
88,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,TITR,no,trace,p2_back,NA,Tiarella trifoliata,foam flower,NA,NA,NA,0.5,G075,2022-09-27
89,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,LYAM,no,3,p2_back,NA,Lysichiton americanus,skunk cabbage,NA,NA,NA,3,G075,2022-09-27
90,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,ATFE,no,10,p2_back,NA,Athyrium filix-femina,lady fern,NA,NA,NA,10,G075,2022-09-27
91,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,OPHO,elk,10,p2_back,NA,Oplopanax horridus,devil's club,NA,NA,NA,10,G075,2022-09-27
92,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,POMU,no,20,p2_back,NA,Polystichum munitum,sword fern,NA,NA,NA,20,G075,2022-09-27
93,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,STSP,no,5,p2_back,NA,Struthiopteris spicant,deer fern,NA,NA,NA,5,G075,2022-09-27
94,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,VAPA,no,1,p2_back,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,1,G075,2022-09-27
95,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,RHME,no,1,p2_back,NA,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,1,G075,2022-09-27
96,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,RUSP,elk,trace,p2_back,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,0.5,G075,2022-09-27
97,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,ADBI,elk,trace,p2_back,NA,Adenocaulon bicolor,trail plant or pathfinder,NA,NA,NA,0.5,G075,2022-09-27
98,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,VIXXSP,no,1,p2_back,NA,Viola sp.,violet species,NA,NA,NA,1,G075,2022-09-27
99,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,MANE,no,30,p2_back,NA,Mahonia nervosa ,low oregon grape,NA,NA,NA,30,G075,2022-09-27
100,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,ACTR,no,15,p2_back,NA,Achlys triphylla,vanilla leaf,NA,NA,NA,15,G075,2022-09-27
101,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,RUUR,no,1,p2_back,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,1,G075,2022-09-27
102,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,GOOB,no,trace,p2_back,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,0.5,G075,2022-09-27
103,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,TSHE,no,3,p2_back,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,3,G075,2022-09-27
104,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,PSME,no,50,p2_back,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,50,G075,2022-09-27
105,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,COSC,no,1,p2_back,NA,Corydalis scouleri,corydalis,NA,NA,NA,1,G075,2022-09-27
106,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,PRHO,no,trace,p2_back,NA,Prosartes hookeri,Hooker's fairy bell,NA,NA,NA,0.5,G075,2022-09-27
107,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,MADI,no,trace,p2_back,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,0.5,G075,2022-09-27
108,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,TROV,no,trace,p2_back,NA,Trillium ovatum,trillium,NA,NA,NA,0.5,G075,2022-09-27
109,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,CLSI,no,trace,p2_back,NA,Claytonia sibirica,miners lettuce or candy flower,NA,NA,NA,0.5,G075,2022-09-27
110,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,75,CCEBCG075,THPL,no,20,p2_back,trunk outside of plot,Thuja plicata,western redcedar,tree,NA,NA,20,G075,2022-09-27
111,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,STSP,no,5,p2_back,NA,Struthiopteris spicant,deer fern,NA,NA,NA,5,G130,2022-09-27
112,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,MANE,elk,25,p2_back,NA,Mahonia nervosa ,low oregon grape,NA,NA,NA,25,G130,2022-09-27
113,2022-09-27T13:30:00Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,VIXXSP,no,5,p2_back,NA,Viola sp.,violet species,NA,NA,NA,5,G130,2022-09-27
114,2022-09-27T13:45:00Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,GOOB,no,trace,p3_front,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,0.5,G130,2022-09-27
115,2022-09-27T13:45:00Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,RHME,no,1,p3_front,NA,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,1,G130,2022-09-27
116,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,VAPA,no,1,p3_front,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,1,G130,2022-09-27
117,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,ACTR,no,7,p3_front,NA,Achlys triphylla,vanilla leaf,NA,NA,NA,7,G130,2022-09-27
118,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,PRHO,no,trace,p3_front,NA,Prosartes hookeri,Hooker's fairy bell,NA,NA,NA,0.5,G130,2022-09-27
119,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,OPHO,no,1,p3_front,NA,Oplopanax horridus,devil's club,NA,NA,NA,1,G130,2022-09-27
120,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,MADI,no,5,p3_front,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,5,G130,2022-09-27
121,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,TROV,no,1,p3_front,NA,Trillium ovatum,trillium,NA,NA,NA,1,G130,2022-09-27
122,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,ROGY,no,trace,p3_front,NA,Rosa gymnocarpa,baldhip rose,NA,NA,common name looked up by beka,0.5,G130,2022-09-27
123,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,MAST,no,1,p3_front,NA,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,1,G130,2022-09-27
124,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,ADBI,no,1,p3_front,NA,Adenocaulon bicolor,trail plant or pathfinder,NA,NA,NA,1,G130,2022-09-27
125,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,POMU,no,1,p3_front,NA,Polystichum munitum,sword fern,NA,NA,NA,1,G130,2022-09-27
126,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,RUUR,no,1,p3_front,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,1,G130,2022-09-27
127,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,TABR,no,1,p3_front,sapling,Taxus brevifolia,Pacific yew,tree,NA,NA,1,G130,2022-09-27
128,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,TSHE,no,85,p3_front,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,85,G130,2022-09-27
129,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,G,130,CCEBCG130,PSME,no,10,p3_front,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,10,G130,2022-09-27
130,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,H,20,CCEBCH020,COSC,no,15,p3_front,NA,Corydalis scouleri,corydalis,NA,NA,NA,15,H020,2022-09-27
131,2022-09-27T13:44:59Z,Charley Creek,BDAEast,BDA,no,H,20,CCEBCH020,POMU,no,15,p3_front,NA,Polystichum munitum,sword fern,NA,NA,NA,15,H020,2022-09-27
