species_code,freq,scientific_name,common_name,vegetation_type,beaver_preference,observation_date,papersheet_id
POGL,10,Polypodium glycyrrhiza,licorice fern,NA,NA,NA,NA
POMU,87,Polystichum munitum,sword fern,NA,NA,NA,NA
PRHO,13,Prosartes hookeri,Hooker's fairy bell,NA,NA,NA,NA
PRSM,1,Prosartes smithii,fairy lantern,NA,NA,NA,NA
PRXXSP,1,Prunus sp.,cherry species,tree,NA,NA,NA
PSME,48,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,NA
PTAQ,5,Pteridium aquilinum,bracken fern,NA,NA,NA,NA
RHME,59,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,NA
RIBR,41,Ribes bracteosum,stink currant,NA,NA,NA,NA
ROGY,7,Rosa gymnocarpa,Rosa gymnocarpa?,NA,NA,NA,NA
ROXXSP,2,Rosa sp.,Rosa species,NA,NA,NA,NA
RULE,1,Rubus leucodermis ,blackcap raspberry,NA,NA,NA,NA
RUNI,1,Rubus nivalis,snow raspberry,NA,NA,NA,NA
RUPA,8,Rubus parviflorus,thimbleberry,NA,NA,NA,NA
RUPE,27,Rubus pedatus,creeping raspberry,shrub,NA,NA,NA
RUSP,60,Rubus spectabilis,salmonberry,NA,preferred,NA,NA
RUUR,13,Rubus ursinus,trailing blackberry,NA,NA,NA,NA
SARA,38,Sambucus racemosa,red elderberry,NA,highly preferred,NA,NA
SCMI,2,Scirpus microcarpus,small fruited bulrush,NA,NA,NA,NA
STAM,1,Streptopus amplexifolius,twistedstalk,NA,NA,NA,NA
STCO,13,Stachys cooleyae,Cooley's Hedge-nettle,NA,NA,NA,NA
STLA,1,Streptopus lanceolatus,rosy twisted stalk,NA,NA,NA,NA
STSP,69,Struthiopteris spicant,deer fern,NA,NA,NA,NA
STXXSP,16,Streptopus sp. or Prosartes sp.,twistedstalk or fairy bells,NA,NA,NA,NA
TABR,2,Taxus brevifolia,Pacific yew,tree,NA,NA,NA
TEGR,7,Tellima grandiflora,fringecup,NA,NA,NA,NA
THPL,35,Thuja plicata,western redcedar,tree,NA,NA,NA
TITR,89,Tiarella trifoliata,foam flower,NA,NA,NA,NA
TOME,52,Tolmiea menziesii,piggyback plant,NA,NA,NA,NA
TROV,22,Trillium ovatum,trillium,NA,NA,NA,NA
TSHE,78,Tsuga heterophylla,western hemlock,tree,NA,NA,NA
VAOV,16,Vaccinium ovalifolium,Oval-leaved huckleberry,NA,NA,NA,NA
VAPA,77,Vaccinium parvifolium,red huckleberry,NA,NA,NA,NA
VIXXSP,62,Viola sp.,violet species,NA,NA,NA,NA
fernXX,1,unknown fern species,unknown fern species,NA,NA,NA,NA
