species_code,freq,scientific_name,common_name,vegetation_type,beaver_preference,observation_date,papersheet_ID
PEPA,1,Petasites palmatus,western coltsfoot,NA,NA,NA,NA
PISI,1,Picea sitchensis,sitka spruce,tree,NA,NA,NA
POGL,4,Polypodium glycyrrhiza,licorice fern,NA,NA,NA,NA
POMU,64,Polystichum munitum,sword fern,NA,NA,NA,NA
PRHO,13,Prosartes hookeri,Hooker's fairy bell,NA,NA,NA,NA
PRXXSP,1,Prunus sp.,NA,NA,NA,NA,NA
PSME,37,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,NA
PTAQ,5,Pteridium aquilinum,bracken fern,NA,NA,NA,NA
RHME,45,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,NA
RIBR,30,Ribes bracteosum,stink currant,NA,NA,NA,NA
ROGY,6,Rosa gymnocarpa,Rosa gymnocarpa?,NA,NA,NA,NA
RSUP,1,NA,NA,NA,NA,NA,NA
RULE,1,Rubus leucodermis ,blackcap raspberry,NA,NA,NA,NA
RUPA,8,Rubus parviflorus,thimbleberry,NA,NA,NA,NA
RUPE,22,Rubus pedatus,creeping raspberry,shrub,NA,NA,NA
RUSP,41,Rubus spectabilis,salmonberry,NA,preferred,NA,NA
RUUR,13,Rubus ursinus,trailing blackberry,NA,NA,NA,NA
SARA,27,Sambucus racemosa,red elderberry,NA,highly preferred,NA,NA
SCMI,1,Scirpus microcarpus,small fruited bulrush,NA,NA,NA,NA
STAM,1,Streptopus amplexifolius,twistedstalk,NA,NA,NA,NA
STCO,8,Stachys cooleyae,Cooley's Hedge-nettle,NA,NA,NA,NA
STRO,1,Streptopus roseus,rosy twisted stalk,NA,NA,NA,NA
STSP,57,Struthiopteris spicant,deer fern,NA,NA,NA,NA
STXXSP,1,NA,NA,NA,NA,NA,NA
TABR,2,Taxus brevifolia,Pacific yew,tree,NA,NA,NA
TEGR,5,Tellima grandiflora,fringecup,NA,NA,NA,NA
THPL,22,Thuja plicata,western redcedar,tree,NA,NA,NA
TITR,68,Tiarella trifoliata,foam flower,NA,NA,NA,NA
TOME,38,Tolmiea menziesii,piggyback plant,NA,NA,NA,NA
TROV,21,Trillium ovatum,trillium,NA,NA,NA,NA
TSHE,62,Tsuga heterophylla,western hemlock,tree,NA,NA,NA
VAOV,7,Vaccinium ovalifolium,Oval-leaved huggleberry,NA,NA,NA,NA
VAPA,57,Vaccinium parvifolium,red huckleberry,NA,NA,NA,NA
VIXXSP,45,Viola sp.,violet species,NA,NA,NA,NA
fringe cup,1,NA,NA,NA,NA,NA,NA
unknown,7,NA,NA,NA,NA,NA,NA
wild ginger,4,NA,NA,NA,NA,NA,NA
